,Text in Sade_Infortunes,Text in B,Location in Sade_Infortunes,Location in B
Sade_Justine_0,"our sur l'obscurité des voies DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER D'APRÈS CELA QUELQUE PLAN DE CONDUITE QUI PÛT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU bipède, perpétuellement ballo","rait de développer les moyens DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER, D'APRÈS CELA, QUELQUES PLANS DE CONDUITE QUI PUSSENT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU bipède la manière dont il fau","(81, 262)","(76, 265)"
Sade_Justine_1,"is parti qu'on puisse prendre ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD DE ZADIG QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN; n'ajouteront-ils pas à cela ","e pour lutter contre le vice, ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU, LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS, SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD, DE ZADIG, QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN, et qu'ils peuvent, d'après c","(1327, 1588)","(1100, 1365)"
Sade_Justine_2," d'après cela il devient égal AU PLAN GÉNÉRAL QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE; QUE SI LE MALHEUR PERSÉCUTE LA VERTU, ET QUE LA PROSPÉRITÉ ACCOMPAGNE PRESQUE TOUJOURS LE VICE, LA CHOSE ÉTANT ÉGALE AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT QUE PARMI LES VERTUEUX QUI PÉRISSENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux de la philosophie, ","ils pas qu'il est indifférent AU PLAN GÉNÉRAL, QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE; QUE SI LE MALHEUR PERSÉCUTE LA VERTU ET QUE LA PROSPÉRITÉ ACCOMPAGNE LE CRIME, LES CHOSES ÉTANT ÉGALES AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT, QUE PARMI LES VERTUEUX QUI ÉCHOUENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux d'une fausse philos","(1873, 2238)","(1530, 1882)"
Sade_Justine_3,"ment que si on lui eût offert DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART la plus brillante fortune che","ment que si on lui eût montré DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART l'affluence des prospérités s","(2506, 2754)","(2149, 2397)"
Sade_Justine_4,"t-on former quelque remords d'AVOIR ÉTABLI UN FAIT, D'OÙ IL RÉSULTERA POUR LE SAGE QUI LIT AVEC FRUIT LA LEÇON SI UTILE DE LA SOUMISSION AUX ORDRES DE LA PROVIDENCE, une partie du développement ","es ? Pourra-t-on être fâché d'AVOIR ÉTABLI UN FAIT, D'OÙ IL RÉSULTERA POUR LE SAGE QUI LIT AVEC FRUIT LA LEÇON SI UTILE DE LA SOUMISSION AUX ORDRES DE LA PROVIDENCE, et l'avertissement fatal que","(2985, 3119)","(2613, 2747)"
Sade_Justine_5, de ses plus secrètes énigmes ET L'AVERTISSEMENT FATAL QUE C'EST SOUVENT POUR NOUS RAMENER À NOS DEVOIRS QUE LE CIEL FRAPPE À CÔTÉ DE NOUS les êtres qui paraissent même," aux ordres de la providence, ET L'AVERTISSEMENT FATAL QUE C'EST SOUVENT POUR NOUS RAMENER À NOS DEVOIRS QUE LE CIEL FRAPPE À CÔTÉ DE NOUS l'être qui nous paraît le mie","(3178, 3286)","(2749, 2857)"
Sade_Justine_6,"triste et misérable Justine. 
MME LA COMTESSE DE LORSANGE ÉTAIT UNE DE CES PRÊTRESSES DE VÉNUS, DONT LA FORTUNE EST L'OUVRAGE D'UNE figure enchanteresse, de beau","ons dû mettre sous ses yeux. 
MME LA COMTESSE DE LORSANGE ÉTAIT UNE DE CES PRÊTRESSES DE VÉNUS DONT LA FORTUNE EST L'OUVRAGE D'UNE jolie figure et de beaucoup d","(3582, 3683)","(3265, 3365)"
Sade_Justine_7,"d'inconduite et de fourberie, ET DONT LES TITRES QUELQUE POMPEUX QU'ILS SAIENT NE SE TROUVENT QUE DANS LES ARCHIVES DE CYTHÈRE, FORGÉS PAR L'IMPERTINENCE QUI LES PREND ET SOUTENUS PAR LA SOTTE CRÉDULITÉ QUI LES DONNE. 
BRUNE, fort vive, une belle taille,"," et de beaucoup d'inconduite, ET DONT LES TITRES, QUELQUE POMPEUX QU'ILS SAIENT, NE SE TROUVENT QUE DANS LES ARCHIVES DE CYTHÈRE, FORGÉS PAR L'IMPERTINENCE QUI LES PREND, ET SOUTENUS PAR LA SOTTE CRÉDULITÉ QUI LES DONNE : BRUNE, une belle taille, des yeux d","(3748, 3942)","(3408, 3605)"
Sade_Justine_8,"t lors de l'anecdote que nous RACONTONS, NE PARUT SENSIBLE QU'AU PLAISIR D'ÊTRE LIBRE, SANS RÉFLÉCHIR UN INSTANT AUX CRUELS REVERS QUI BRISAIENT SES CHAÎNES. POUR JUSTINE, sa sœur, venant d'atteindre ","de l'histoire que nous allons RACONTER, NE PARUT SENSIBLE QU'AU PLAISIR D'ÊTRE LIBRE, SANS RÉFLÉCHIR UN INSTANT AUX CRUELS REVERS QUI BRISAIENT SES CHAÎNES. POUR JUSTINE, âgée, comme nous l'avons dit","(5366, 5506)","(5196, 5335)"
Sade_Justine_9," toute différente de celle de JULIETTE; AUTANT ON VOYAIT D'ARTIFICE, DE MANÈGE, DE COQUETTERIE DANS LES TRAITS DE L'UNE, AUTANT ON ADMIRAIT DE PUDEUR, DE DÉLICATESSE ET DE TIMIDITÉ DANS L'AUTRE. UN AIR DE VIERGE, DE GRANDS YEUX BLEUS pleins d'intérêt, une peau éb"," dont la nature avait embelli JULIETTE; AUTANT ON VOYAIT D'ARTIFICE, DE MANÈGE, DE COQUETTERIE DANS LES TRAITS DE L'UNE, AUTANT ON ADMIRAIT DE PUDEUR, DE DÉCENCE ET DE TIMIDITÉ DANS L'AUTRE; UN AIR DE VIERGE, DE GRANDS YEUX BLEUS, pleins d'âme et d'intérêt, u","(5912, 6115)","(5819, 6018)"
