,Text in Sade_Justine,Text in B,Location in Sade_Justine,Location in B
Sade_Infortunes_0,"rait de développer les moyens DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER, D'APRÈS CELA, QUELQUES PLANS DE CONDUITE QUI PUSSENT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU bipède la manière dont il fau","our sur l'obscurité des voies DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER D'APRÈS CELA QUELQUE PLAN DE CONDUITE QUI PÛT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU bipède, perpétuellement ballo","(76, 265)","(81, 262)"
Sade_Infortunes_1,"e pour lutter contre le vice, ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU, LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS, SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD, DE ZADIG, QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN, et qu'ils peuvent, d'après c","is parti qu'on puisse prendre ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD DE ZADIG QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN; n'ajouteront-ils pas à cela ","(1100, 1365)","(1327, 1588)"
Sade_Infortunes_2,"ils pas qu'il est indifférent AU PLAN GÉNÉRAL, QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE; QUE SI LE MALHEUR PERSÉCUTE LA VERTU ET QUE LA PROSPÉRITÉ ACCOMPAGNE LE CRIME, LES CHOSES ÉTANT ÉGALES AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT, QUE PARMI LES VERTUEUX QUI ÉCHOUENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux d'une fausse philos"," d'après cela il devient égal AU PLAN GÉNÉRAL QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE; QUE SI LE MALHEUR PERSÉCUTE LA VERTU, ET QUE LA PROSPÉRITÉ ACCOMPAGNE PRESQUE TOUJOURS LE VICE, LA CHOSE ÉTANT ÉGALE AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT QUE PARMI LES VERTUEUX QUI PÉRISSENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux de la philosophie, ","(1530, 1882)","(1873, 2238)"
Sade_Infortunes_3,"ment que si on lui eût montré DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART l'affluence des prospérités s","ment que si on lui eût offert DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART la plus brillante fortune che","(2149, 2397)","(2506, 2754)"
Sade_Infortunes_4,"es ? Pourra-t-on être fâché d'AVOIR ÉTABLI UN FAIT, D'OÙ IL RÉSULTERA POUR LE SAGE QUI LIT AVEC FRUIT LA LEÇON SI UTILE DE LA SOUMISSION AUX ORDRES DE LA PROVIDENCE, ET L'AVERTISSEMENT FATAL QUE C'EST SOUVENT POUR NOUS RAMENER À NOS DEVOIRS QUE LE CIEL FRAPPE À CÔTÉ DE NOUS l'être qui nous paraît le mie","t-on former quelque remords d'AVOIR ÉTABLI UN FAIT, D'OÙ IL RÉSULTERA POUR LE SAGE QUI LIT AVEC FRUIT LA LEÇON SI UTILE DE LA SOUMISSION AUX ORDRES DE LA PROVIDENCE, UNE PARTIE DU DÉVELOPPEMENT DE SES PLUS SECRÈTES ÉNIGMES ET L'AVERTISSEMENT FATAL QUE C'EST SOUVENT POUR NOUS RAMENER À NOS DEVOIRS QUE LE CIEL FRAPPE À CÔTÉ DE NOUS les êtres qui paraissent même","(2613, 2857)","(2985, 3286)"
Sade_Infortunes_5,"ons dû mettre sous ses yeux. 
MME LA COMTESSE DE LORSANGE ÉTAIT UNE DE CES PRÊTRESSES DE VÉNUS DONT LA FORTUNE EST L'OUVRAGE D'UNE jolie figure et de beaucoup d","triste et misérable Justine. 
MME LA COMTESSE DE LORSANGE ÉTAIT UNE DE CES PRÊTRESSES DE VÉNUS, DONT LA FORTUNE EST L'OUVRAGE D'UNE figure enchanteresse, de beau","(3265, 3365)","(3582, 3683)"
Sade_Infortunes_6," et de beaucoup d'inconduite, ET DONT LES TITRES, QUELQUE POMPEUX QU'ILS SAIENT, NE SE TROUVENT QUE DANS LES ARCHIVES DE CYTHÈRE, FORGÉS PAR L'IMPERTINENCE QUI LES PREND, ET SOUTENUS PAR LA SOTTE CRÉDULITÉ QUI LES DONNE : BRUNE, une belle taille, des yeux d","d'inconduite et de fourberie, ET DONT LES TITRES QUELQUE POMPEUX QU'ILS SAIENT NE SE TROUVENT QUE DANS LES ARCHIVES DE CYTHÈRE, FORGÉS PAR L'IMPERTINENCE QUI LES PREND ET SOUTENUS PAR LA SOTTE CRÉDULITÉ QUI LES DONNE. 
BRUNE, fort vive, une belle taille,","(3408, 3605)","(3748, 3942)"
Sade_Infortunes_7,"de l'histoire que nous allons RACONTER, NE PARUT SENSIBLE QU'AU PLAISIR D'ÊTRE LIBRE, SANS RÉFLÉCHIR UN INSTANT AUX CRUELS REVERS QUI BRISAIENT SES CHAÎNES. POUR JUSTINE, âgée, comme nous l'avons dit","t lors de l'anecdote que nous RACONTONS, NE PARUT SENSIBLE QU'AU PLAISIR D'ÊTRE LIBRE, SANS RÉFLÉCHIR UN INSTANT AUX CRUELS REVERS QUI BRISAIENT SES CHAÎNES. POUR JUSTINE, sa sœur, venant d'atteindre ","(5196, 5335)","(5366, 5506)"
Sade_Infortunes_8," dont la nature avait embelli JULIETTE; AUTANT ON VOYAIT D'ARTIFICE, DE MANÈGE, DE COQUETTERIE DANS LES TRAITS DE L'UNE, AUTANT ON ADMIRAIT DE PUDEUR, DE DÉCENCE ET DE TIMIDITÉ DANS L'AUTRE; UN AIR DE VIERGE, DE GRANDS YEUX BLEUS, pleins d'âme et d'intérêt, u"," toute différente de celle de JULIETTE; AUTANT ON VOYAIT D'ARTIFICE, DE MANÈGE, DE COQUETTERIE DANS LES TRAITS DE L'UNE, AUTANT ON ADMIRAIT DE PUDEUR, DE DÉLICATESSE ET DE TIMIDITÉ DANS L'AUTRE. UN AIR DE VIERGE, DE GRANDS YEUX BLEUS pleins d'intérêt, une peau éb","(5819, 6018)","(5912, 6115)"
Sade_Infortunes_9,"u-dessus de nos pinceaux. 
On LEUR DONNA VINGT-QUATRE HEURES À L'UNE ET À L'AUTRE POUR QUITTER LE COUVENT, LEUR LAISSANT LE SOIN DE SE POURVOIR, AVEC LEURS CENT ÉCUS, OÙ BON LEUR SEMBLERAIT. JULIETTE, ENCHANTÉE D'ÊTRE SA MAÎTRESSE, VOULUT UN MOMENT ESSUYER LES PLEURS DE JUSTINE, PUIS VOYANT QU'ELLE N'Y RÉUSSIRAIT PAS, ELLE SE MIT À LA GRONDER AU LIEU DE LA CONSOLER; ELLE lui reprocha sa sensibilité; ","ui voudrait les réaliser. 
On LEUR DONNA VINGT-QUATRE HEURES À L'UNE ET À L'AUTRE POUR QUITTER LE COUVENT, LEUR LAISSANT LE SOIN DE SE POURVOIR AVEC LEURS CENT ÉCUS OÙ BON LEUR SEMBLERAIT. JULIETTE, ENCHANTÉE D'ÊTRE SA MAÎTRESSE, VOULUT UN MOMENT ESSUYER LES PLEURS DE JUSTINE, MAIS VOYANT QU'ELLE N'Y RÉUSSIRAIT PAS, ELLE SE MIT À LA GRONDER AU LIEU DE LA CONSOLER, ELLE lui dit qu'elle était une bêt","(6301, 6644)","(6459, 6800)"
